code_annee,code_postal,code_delits,code_indicateur,nb_delits
9,75002,2,0,0
9,75003,2,1,0
9,75004,2,2,0
9,75005,2,3,0
9,75007,2,4,0
9,75008,2,5,0
9,75009,2,6,0
9,75010,2,7,0
9,75011,2,8,0
9,75012,2,9,0
9,75013,2,10,0
9,75014,2,11,0
9,75015,2,12,0
9,75016,2,13,1
9,75017,2,14,0
9,75018,2,15,0
9,75019,2,16,0
9,75020,2,17,0
9,75001,2,18,0
9,75002,3,19,0
9,75003,3,20,0
9,75004,3,21,0
9,75005,3,22,0
9,75007,3,23,0
9,75008,3,24,0
9,75009,3,25,0
9,75010,3,26,1
9,75011,3,27,1
9,75012,3,28,2
9,75013,3,29,1
9,75014,3,30,0
9,75015,3,31,0
9,75016,3,32,1
9,75017,3,33,0
9,75018,3,34,0
9,75019,3,35,2
9,75020,3,36,0
9,75001,3,37,1
9,75002,4,38,0
9,75003,4,39,0
9,75004,4,40,0
9,75005,4,41,0
9,75007,4,42,2
9,75008,4,43,0
9,75009,4,44,1
9,75010,4,45,0
9,75011,4,46,0
9,75012,4,47,0
9,75013,4,48,0
9,75014,4,49,1
9,75015,4,50,0
9,75016,4,51,0
9,75017,4,52,1
9,75018,4,53,0
9,75019,4,54,1
9,75020,4,55,0
9,75001,4,56,1
9,75002,5,57,0
9,75003,5,58,0
9,75004,5,59,0
9,75005,5,60,2
9,75007,5,61,5
9,75008,5,62,4
9,75009,5,63,1
9,75010,5,64,5
9,75011,5,65,3
9,75012,5,66,13
9,75013,5,67,6
9,75014,5,68,5
9,75015,5,69,2
9,75016,5,70,4
9,75017,5,71,5
9,75018,5,72,9
9,75019,5,73,6
9,75020,5,74,10
9,75001,5,75,11
9,75002,6,76,0
9,75003,6,77,0
9,75004,6,78,0
9,75005,6,79,0
9,75007,6,80,0
9,75008,6,81,1
9,75009,6,82,0
9,75010,6,83,0
9,75011,6,84,0
9,75012,6,85,1
9,75013,6,86,0
9,75014,6,87,0
9,75015,6,88,0
9,75016,6,89,0
9,75017,6,90,0
9,75018,6,91,2
9,75019,6,92,0
9,75020,6,93,0
9,75001,6,94,0
9,75002,7,95,3
9,75003,7,96,9
9,75004,7,97,3
9,75005,7,98,417
9,75007,7,99,215
9,75008,7,100,396
9,75009,7,101,233
9,75010,7,102,497
9,75011,7,103,625
9,75012,7,104,679
9,75013,7,105,718
9,75014,7,106,528
9,75015,7,107,804
9,75016,7,108,708
9,75017,7,109,596
9,75018,7,110,1005
9,75019,7,111,923
9,75020,7,112,1167
9,75001,7,113,741
9,75002,8,114,0
9,75003,8,115,0
9,75004,8,116,0
9,75005,8,117,0
9,75007,8,118,0
9,75008,8,119,0
9,75009,8,120,0
9,75010,8,121,0
9,75011,8,122,0
9,75012,8,123,0
9,75013,8,124,0
9,75014,8,125,0
9,75015,8,126,0
9,75016,8,127,1
9,75017,8,128,0
9,75018,8,129,0
9,75019,8,130,0
9,75020,8,131,0
9,75001,8,132,0
9,75002,10,133,0
9,75003,10,134,0
9,75004,10,135,0
9,75005,10,136,2
9,75007,10,137,2
9,75008,10,138,10
9,75009,10,139,1
9,75010,10,140,16
9,75011,10,141,3
9,75012,10,142,5
9,75013,10,143,7
9,75014,10,144,7
9,75015,10,145,7
9,75016,10,146,16
9,75017,10,147,13
9,75018,10,148,8
9,75019,10,149,10
9,75020,10,150,11
9,75001,10,151,9
9,75002,11,152,0
9,75003,11,153,0
9,75004,11,154,0
9,75005,11,155,81
9,75007,11,156,15
9,75008,11,157,76
9,75009,11,158,50
9,75010,11,159,102
9,75011,11,160,59
9,75012,11,161,70
9,75013,11,162,74
9,75014,11,163,61
9,75015,11,164,84
9,75016,11,165,95
9,75017,11,166,92
9,75018,11,167,84
9,75019,11,168,42
9,75020,11,169,124
9,75001,11,170,92
9,75002,12,171,1
9,75003,12,172,1
9,75004,12,173,2
9,75005,12,174,130
9,75007,12,175,201
9,75008,12,176,175
9,75009,12,177,117
9,75010,12,178,282
9,75011,12,179,214
9,75012,12,180,310
9,75013,12,181,311
9,75014,12,182,202
9,75015,12,183,403
9,75016,12,184,336
9,75017,12,185,365
9,75018,12,186,398
9,75019,12,187,454
9,75020,12,188,528
9,75001,12,189,298
9,75002,14,190,0
9,75003,14,191,0
9,75004,14,192,0
9,75005,14,193,29
9,75007,14,194,8
9,75008,14,195,65
9,75009,14,196,14
9,75010,14,197,36
9,75011,14,198,31
9,75012,14,199,25
9,75013,14,200,31
9,75014,14,201,26
9,75015,14,202,43
9,75016,14,203,55
9,75017,14,204,54
9,75018,14,205,76
9,75019,14,206,49
9,75020,14,207,94
9,75001,14,208,55
9,75002,17,209,0
9,75003,17,210,0
9,75004,17,211,0
9,75005,17,212,0
9,75007,17,213,0
9,75008,17,214,0
9,75009,17,215,0
9,75010,17,216,0
9,75011,17,217,0
9,75012,17,218,0
9,75013,17,219,0
9,75014,17,220,0
9,75015,17,221,0
9,75016,17,222,0
9,75017,17,223,1
9,75018,17,224,0
9,75019,17,225,0
9,75020,17,226,0
9,75001,17,227,0
9,75002,18,228,0
9,75003,18,229,0
9,75004,18,230,0
9,75005,18,231,0
9,75007,18,232,0
9,75008,18,233,0
9,75009,18,234,0
9,75010,18,235,0
9,75011,18,236,0
9,75012,18,237,1
9,75013,18,238,0
9,75014,18,239,1
9,75015,18,240,0
9,75016,18,241,0
9,75017,18,242,1
9,75018,18,243,1
9,75019,18,244,0
9,75020,18,245,1
9,75001,18,246,0
9,75002,20,247,0
9,75003,20,248,0
9,75004,20,249,0
9,75005,20,250,0
9,75007,20,251,1
9,75008,20,252,3
9,75009,20,253,0
9,75010,20,254,8
9,75011,20,255,0
9,75012,20,256,3
9,75013,20,257,1
9,75014,20,258,0
9,75015,20,259,4
9,75016,20,260,1
9,75017,20,261,0
9,75018,20,262,1
9,75019,20,263,1
9,75020,20,264,5
9,75001,20,265,1
9,75002,21,266,0
9,75003,21,267,0
9,75004,21,268,0
9,75005,21,269,1
9,75007,21,270,1
9,75008,21,271,1
9,75009,21,272,1
9,75010,21,273,3
9,75011,21,274,2
9,75012,21,275,1
9,75013,21,276,2
9,75014,21,277,0
9,75015,21,278,1
9,75016,21,279,0
9,75017,21,280,1
9,75018,21,281,6
9,75019,21,282,4
9,75020,21,283,1
9,75001,21,284,1
9,75002,22,285,0
9,75003,22,286,0
9,75004,22,287,0
9,75005,22,288,17
9,75007,22,289,15
9,75008,22,290,10
9,75009,22,291,11
9,75010,22,292,33
9,75011,22,293,13
9,75012,22,294,19
9,75013,22,295,16
9,75014,22,296,11
9,75015,22,297,18
9,75016,22,298,26
9,75017,22,299,22
9,75018,22,300,65
9,75019,22,301,30
9,75020,22,302,19
9,75001,22,303,27
9,75002,23,304,0
9,75003,23,305,0
9,75004,23,306,0
9,75005,23,307,5
9,75007,23,308,1
9,75008,23,309,2
9,75009,23,310,1
9,75010,23,311,8
9,75011,23,312,3
9,75012,23,313,3
9,75013,23,314,4
9,75014,23,315,1
9,75015,23,316,3
9,75016,23,317,5
9,75017,23,318,6
9,75018,23,319,2
9,75019,23,320,5
9,75020,23,321,1
9,75001,23,322,7
9,75002,24,323,0
9,75003,24,324,0
9,75004,24,325,0
9,75005,24,326,1
9,75007,24,327,3
9,75008,24,328,1
9,75009,24,329,0
9,75010,24,330,22
9,75011,24,331,3
9,75012,24,332,5
9,75013,24,333,7
9,75014,24,334,6
9,75015,24,335,4
9,75016,24,336,6
9,75017,24,337,4
9,75018,24,338,10
9,75019,24,339,3
9,75020,24,340,1
9,75001,24,341,4
9,75002,25,342,0
9,75003,25,343,0
9,75004,25,344,0
9,75005,25,345,244
9,75007,25,346,105
9,75008,25,347,324
9,75009,25,348,232
9,75010,25,349,387
9,75011,25,350,256
9,75012,25,351,364
9,75013,25,352,283
9,75014,25,353,244
9,75015,25,354,285
9,75016,25,355,225
9,75017,25,356,390
9,75018,25,357,559
9,75019,25,358,371
9,75020,25,359,405
9,75001,25,360,534
9,75002,26,361,0
9,75003,26,362,3
9,75004,26,363,0
9,75005,26,364,203
9,75007,26,365,129
9,75008,26,366,287
9,75009,26,367,197
9,75010,26,368,478
9,75011,26,369,321
9,75012,26,370,299
9,75013,26,371,350
9,75014,26,372,193
9,75015,26,373,239
9,75016,26,374,436
9,75017,26,375,564
9,75018,26,376,725
9,75019,26,377,552
9,75020,26,378,366
9,75001,26,379,630
9,75002,27,380,0
9,75003,27,381,0
9,75004,27,382,1
9,75005,27,383,516
9,75007,27,384,238
9,75008,27,385,244
9,75009,27,386,278
9,75010,27,387,413
9,75011,27,388,480
9,75012,27,389,451
9,75013,27,390,494
9,75014,27,391,350
9,75015,27,392,985
9,75016,27,393,613
9,75017,27,394,744
9,75018,27,395,1248
9,75019,27,396,497
9,75020,27,397,484
9,75001,27,398,907
9,75002,28,399,0
9,75003,28,400,0
9,75004,28,401,0
9,75005,28,402,80
9,75007,28,403,25
9,75008,28,404,16
9,75009,28,405,10
9,75010,28,406,7
9,75011,28,407,15
9,75012,28,408,18
9,75013,28,409,22
9,75014,28,410,19
9,75015,28,411,46
9,75016,28,412,34
9,75017,28,413,30
9,75018,28,414,26
9,75019,28,415,16
9,75020,28,416,13
9,75001,28,417,60
9,75002,29,418,1
9,75003,29,419,1
9,75004,29,420,0
9,75005,29,421,267
9,75007,29,422,130
9,75008,29,423,238
9,75009,29,424,251
9,75010,29,425,317
9,75011,29,426,281
9,75012,29,427,235
9,75013,29,428,165
9,75014,29,429,164
9,75015,29,430,290
9,75016,29,431,351
9,75017,29,432,250
9,75018,29,433,310
9,75019,29,434,259
9,75020,29,435,250
9,75001,29,436,646
9,75002,30,437,1
9,75003,30,438,1
9,75004,30,439,0
9,75005,30,440,43
9,75007,30,441,55
9,75008,30,442,64
9,75009,30,443,50
9,75010,30,444,94
9,75011,30,445,70
9,75012,30,446,143
9,75013,30,447,109
9,75014,30,448,83
9,75015,30,449,143
9,75016,30,450,124
9,75017,30,451,136
9,75018,30,452,167
9,75019,30,453,212
9,75020,30,454,122
9,75001,30,455,180
9,75002,31,456,0
9,75003,31,457,0
9,75004,31,458,0
9,75005,31,459,13
9,75007,31,460,2
9,75008,31,461,10
9,75009,31,462,7
9,75010,31,463,12
