code_population,age,hommes,femmes,ensemble,code_postal
0,Moins de 3 ans,193,184,377,75001
1,3 à 5 ans,161,158,319,75001
2,6 à 10 ans,282,313,595,75001
3,11 à 17 ans,448,432,880,75001
4,18 à 24 ans,753,900,1654,75001
5,25 à 39 ans,2171,1821,3992,75001
6,40 à 54 ans,1922,1576,3498,75001
7,55 à 64 ans,933,893,1826,75001
8,65 à 79 ans,1051,1115,2166,75001
9,80 ans ou plus,329,457,786,75001
10,Moins de 3 ans,296,253,549,75002
11,3 à 5 ans,253,258,511,75002
12,6 à 10 ans,450,431,881,75002
13,11 à 17 ans,520,564,1084,75002
14,18 à 24 ans,997,1142,2139,75002
15,25 à 39 ans,3711,3388,7099,75002
16,40 à 54 ans,2659,2173,4832,75002
17,55 à 64 ans,1077,972,2048,75002
18,65 à 79 ans,844,925,1770,75002
19,80 ans ou plus,169,339,508,75002
20,Moins de 3 ans,446,388,834,75003
21,3 à 5 ans,388,295,683,75003
22,6 à 10 ans,665,686,1351,75003
23,11 à 17 ans,872,922,1794,75003
24,18 à 24 ans,1404,2003,3407,75003
25,25 à 39 ans,5141,5173,10314,75003
26,40 à 54 ans,3831,3333,7164,75003
27,55 à 64 ans,1774,1770,3543,75003
28,65 à 79 ans,1662,2045,3707,75003
29,80 ans ou plus,478,746,1224,75003
30,Moins de 3 ans,365,403,767,75004
31,3 à 5 ans,376,353,729,75004
32,6 à 10 ans,562,558,1120,75004
33,11 à 17 ans,790,695,1484,75004
34,18 à 24 ans,1332,1830,3162,75004
35,25 à 39 ans,3773,3758,7531,75004
36,40 à 54 ans,3074,2720,5794,75004
37,55 à 64 ans,1618,1723,3342,75004
38,65 à 79 ans,1580,1985,3565,75004
39,80 ans ou plus,446,822,1268,75004
40,Moins de 3 ans,637,534,1171,75005
41,3 à 5 ans,587,596,1183,75005
42,6 à 10 ans,1137,1097,2234,75005
43,11 à 17 ans,1874,1803,3677,75005
44,18 à 24 ans,4254,5389,9643,75005
45,25 à 39 ans,6165,6321,12486,75005
46,40 à 54 ans,4805,5152,9956,75005
47,55 à 64 ans,2981,3327,6309,75005
48,65 à 79 ans,3378,4756,8134,75005
